unique_id,target_arrival_time,target_end_time,target_position
5000,1571949359999999951,1571950800000000000,9059
5015,1571949359999999951,1571950800000000000,-4347
5030,1571949359999999951,1571950800000000000,9164
5020,1571949359999999951,1571950800000000000,12133
5035,1572013919999999982,1572017400000000000,9811
5010,1572013919999999982,1572017400000000000,34623
5005,1572013919999999982,1572017400000000000,11225
5025,1572013919999999982,1572017400000000000,2848
5040,1572013919999999982,1572017400000000000,4676
5000,1572013919999999982,1572017400000000000,7248
5015,1572013919999999982,1572017400000000000,-3921
5030,1572013919999999982,1572017400000000000,11783
5020,1572013919999999982,1572017400000000000,13927
5035,1572024719999999917,1572028200000000000,13748
5010,1572024719999999917,1572028200000000000,29209
5005,1572024719999999917,1572028200000000000,9406
5025,1572024719999999917,1572028200000000000,4286
5040,1572024719999999917,1572028200000000000,6159
5000,1572024719999999917,1572028200000000000,4636
5015,1572024719999999917,1572028200000000000,-4608
5030,1572024719999999917,1572028200000000000,10731
5020,1572024719999999917,1572028200000000000,16975
5035,1572034439999999957,1572037200000000000,10942
5010,1572034439999999957,1572037200000000000,23458
5005,1572034439999999957,1572037200000000000,6757
5025,1572034439999999957,1572037200000000000,6104
5040,1572034439999999957,1572037200000000000,7531
5000,1572034439999999957,1572037200000000000,3698
5015,1572034439999999957,1572037200000000000,-4093
5030,1572034439999999957,1572037200000000000,11527
5020,1572034439999999957,1572037200000000000,21559
5035,1572269879999999901,1572276600000000000,10473
5010,1572269879999999901,1572276600000000000,22540
5005,1572269879999999901,1572276600000000000,6401
5025,1572269879999999901,1572276600000000000,6530
5040,1572269879999999901,1572276600000000000,7414
5000,1572269879999999901,1572276600000000000,3450
5015,1572269879999999901,1572276600000000000,-4088
5030,1572269879999999901,1572276600000000000,11256
5020,1572269879999999901,1572276600000000000,23416
5035,1572284999999999967,1572287400000000000,8604
5010,1572284999999999967,1572287400000000000,15705
5005,1572284999999999967,1572287400000000000,6822
5025,1572284999999999967,1572287400000000000,7615
5040,1572284999999999967,1572287400000000000,9395
5000,1572284999999999967,1572287400000000000,2433
5015,1572284999999999967,1572287400000000000,-4336
5030,1572284999999999967,1572287400000000000,12444
5020,1572284999999999967,1572287400000000000,23298
5035,1572295379999999933,1572296400000000000,7905
5010,1572295379999999933,1572296400000000000,14717
5005,1572295379999999933,1572296400000000000,7061
5025,1572295379999999933,1572296400000000000,7608
5040,1572295379999999933,1572296400000000000,9775
5000,1572295379999999933,1572296400000000000,2163
5015,1572295379999999933,1572296400000000000,-4722
5030,1572295379999999933,1572296400000000000,12517
5020,1572295379999999933,1572296400000000000,23799
5035,1572357119999999925,1572363000000000000,7853
5010,1572357119999999925,1572363000000000000,15167
5005,1572357119999999925,1572363000000000000,7132
5025,1572357119999999925,1572363000000000000,7601
5040,1572357119999999925,1572363000000000000,9602
5000,1572357119999999925,1572363000000000000,2200
5015,1572357119999999925,1572363000000000000,-4679
5030,1572357119999999925,1572363000000000000,12479
5020,1572357119999999925,1572363000000000000,23759
5035,1572369599999999940,1572373800000000000,6865
5010,1572369599999999940,1572373800000000000,12732
5005,1572369599999999940,1572373800000000000,6669
5025,1572369599999999940,1572373800000000000,8249
5040,1572369599999999940,1572373800000000000,10135
5000,1572369599999999940,1572373800000000000,1951
5015,1572369599999999940,1572373800000000000,-5390
5030,1572369599999999940,1572373800000000000,11897
5020,1572369599999999940,1572373800000000000,25390
5035,1572379619999999903,1572382800000000000,7374
5010,1572379619999999903,1572382800000000000,14883
5005,1572379619999999903,1572382800000000000,7466
5025,1572379619999999903,1572382800000000000,8112
5040,1572379619999999903,1572382800000000000,9544
5000,1572379619999999903,1572382800000000000,2174
5015,1572379619999999903,1572382800000000000,-5746
5030,1572379619999999903,1572382800000000000,10703
5020,1572379619999999903,1572382800000000000,25206
5035,1572447719999999962,1572449400000000000,7904
5010,1572447719999999962,1572449400000000000,16634
5005,1572447719999999962,1572449400000000000,5601
5025,1572447719999999962,1572449400000000000,7497
5040,1572447719999999962,1572449400000000000,9752
5000,1572447719999999962,1572449400000000000,2494
5015,1572447719999999962,1572449400000000000,-6176
5030,1572447719999999962,1572449400000000000,11490
5020,1572447719999999962,1572449400000000000,23308
5035,1572453719999999918,1572460200000000000,9255
5010,1572453719999999918,1572460200000000000,17727
5005,1572453719999999918,1572460200000000000,5039
5025,1572453719999999918,1572460200000000000,7177
5040,1572453719999999918,1572460200000000000,9423
5000,1572453719999999918,1572460200000000000,2966
5015,1572453719999999918,1572460200000000000,-6150
5030,1572453719999999918,1572460200000000000,10949
5020,1572453719999999918,1572460200000000000,23332
5035,1572464459999999938,1572469200000000000,8859
5010,1572464459999999938,1572469200000000000,19405
5005,1572464459999999938,1572469200000000000,5124
5025,1572464459999999938,1572469200000000000,7321
5040,1572464459999999938,1572469200000000000,8486
5000,1572464459999999938,1572469200000000000,3218
5015,1572464459999999938,1572469200000000000,-6239
5030,1572464459999999938,1572469200000000000,9972
5020,1572464459999999938,1572469200000000000,24415
5035,1572534899999999959,1572535800000000000,10111
5010,1572534899999999959,1572535800000000000,23289
5005,1572534899999999959,1572535800000000000,6642
5025,1572534899999999959,1572535800000000000,6219
5040,1572534899999999959,1572535800000000000,8049
5000,1572534899999999959,1572535800000000000,3425
5015,1572534899999999959,1572535800000000000,-5079
5030,1572534899999999959,1572535800000000000,10760
5020,1572534899999999959,1572535800000000000,21443
5035,1572540179999999931,1572546600000000000,11317
5010,1572540179999999931,1572546600000000000,26136
5005,1572540179999999931,1572546600000000000,6816
5025,1572540179999999931,1572546600000000000,5217
5040,1572540179999999931,1572546600000000000,7367
5000,1572540179999999931,1572546600000000000,4343
5015,1572540179999999931,1572546600000000000,-4993
5030,1572540179999999931,1572546600000000000,10564
5020,1572540179999999931,1572546600000000000,20171
5035,1572554879999999916,1572555600000000000,13487
5010,1572554879999999916,1572555600000000000,26686
5005,1572554879999999916,1572555600000000000,5839
5025,1572554879999999916,1572555600000000000,5731
5040,1572554879999999916,1572555600000000000,7585
5000,1572554879999999916,1572555600000000000,4306
5015,1572554879999999916,1572555600000000000,-2840
5030,1572554879999999916,1572555600000000000,10296
5020,1572554879999999916,1572555600000000000,20372
